nom_suggere;categorie;detail;ville;region;courriel;telephone;site;adresse;code_postal;gps;image;resume;nom_brut_melange
Dapietro;Café Bar Restaurant;Restaurant;Terrebonne;Les Moulins;info@dapietro.ca;450 964-3551;http://www.dapietro.ca;749, rue Saint-Pierre;J6W 1E1;45.6928535,-73.6343144;https://img1.wsimg.com/isteam/ip/6d83cc35-5d10-4654-919e-9609aeb2d58e/www.dapietro.ca.jpg;Situé dans le quartier historique du Vieux-Terrebonne, le restaurant-bistro Da Pietro vous invite à savourer une cuisine italienne authentique depuis 1994. Ce lieu convivial propose une atmosphère chaleureuse idéale pour se restaurer en famille ou entre amis. La carte offre un large éventail de spécialités, allant des pâtes farcies maisons aux escalopes de veau, en passant par des pizzas savoureus;Zeste Détente (Les Saules)
Bistrole 633;Café Bar Restaurant;Restaurant;Bromont;Brome-Missisquoi;info@bistrole633.com;450 534-0633;https://www.bistrole633.com;633, rue Shefford;J2L 1C2;45.318861,-72.653477;https://bistrole633.com/wp-content/uploads/2024/02/Le633-logoX1.png;Situé au cur du vieux-village de Bromont, le Bistro Le 633 vous invite à une expérience culinaire chaleureuse et conviviale. Dans une maison datant de la fin des années 1800, savourez des plats faits maison, dont des tapas revisités, dans un cadre enchanteur. Que ce soit pour un repas en amoureux ou une célébration entre amis, vous apprécierez nos terrasses accueillantes, dont une couverte et cha;ZEC Lavigne
Lespag;Café Bar Restaurant;Restaurant;Terrebonne;Les Moulins;lefolichon@videotron.ca;450 824-1213;https://lespag.ca;839, St-François-Xavier;J6W 1H1;45.693267,-73.635978;http://lespag.ca/wp-content/uploads/2017/04/au-coeur-300x53.png;Situé au cur du Vieux-Terrebonne, le restaurant Le Spag vous offre une expérience gastronomique italienne authentique dans une ambiance chaleureuse et conviviale. Avec son décor rustique et ses lumières tamisées, cet établissement est idéal pour un dîner romantique ou une soirée entre amis. La carte, élaborée par un chef passionné, propose des plats classiques tels que pâtes fraîches, pizzas et r;Z'APPARTEMENT À LA CARTE
Lescontrebandiers;Café Bar Restaurant;Restaurant;Trois-Rivières;;;819 370-2005;https://lescontrebandiers.ca;300 Rue Des Forges Trois-Rivières G;G9A 2G8;;https://lescontrebandiers.ca/wp-content/uploads/2020/10/Facebook-Commander-enligne.jpg;Situé au cur de Trois-Rivières, le restaurant Les Contrebandiers vous invite à vivre une expérience culinaire unique dans une ambiance chaleureuse inspirée de la prohibition. Idéal pour des dîners d'affaires, des 5 à 7 animés ou des soirées entre amis, cet établissement vous propose une cuisine bistronomique revisitée. Le chef Jacques-Olivier Michaud et sa brigade mettent à l'honneur des plats à ;Yuzu Sushi
Lepechemignon;Café Bar Restaurant;Restaurant;Trois-Rivières;Trois-Rivières;resto.peche.mignon@gmail.com;819 375-9786;http://www.lepechemignon.ca;329, rue St-Roch;G9A2L6;46.3399107,-72.5443598;http://www.lepechemignon.ca/images/logo.jpg;Situé au cur de Trois-Rivières, Le Péché Mignon est un restaurant qui allie histoire et gastronomie depuis 2008. Niché dans un bâtiment datant de 1864, il offre une ambiance chaleureuse et conviviale. Les visiteurs peuvent y déguster des plats uniques et savoureux, présentés dans un décor qui respire le charme d'antan. La carte met en avant des créations culinaires qui raviront les papilles des g;Yubari
Lebuck;Café Bar Restaurant;Restaurant;Trois-Rivières;Trois-Rivières;info@lebuck.ca;819 374-5128;https://www.lebuck.ca/renard;1579 rue badeaux;G9A 4T4;46.3409435,-72.542204;http://static1.squarespace.com/static/5f6a4616330c744b419cec51/t/668935cf3ff8343a6b3f22be/1720268243447/Logo_LeRenard_fondorange.jpg?format=1500w;Situé au cur de Trois-Rivières sur la rue Badeaux, Le Renard Buvette vous accueille dans une atmosphère intime et chaleureuse, idéale pour un repas à toute heure de la journée. Le matin et l'après-midi, savourez des cafés et des sandwichs gourmets, tandis quen soirée, place à un menu de petits plats à partager, inspiré par les produits locaux et les saisons. Ce comptoir lunch, faisant partie du ;YOURTES DU CENTRE CULTUREL LE GRIFFON
Troududiable;Café Bar Restaurant;Restaurant;Québec, Shawinigan;;;819 556-6666;https://troududiable.com/broue-pub-et-restaurant;412 avenue Willow , le Broue Pub vous offre , 412, avenue Willow Shawinigan, Québec;;;https://troududiable.com/wp-content/uploads/2020/11/pourlemeilleurpourlepire-plan-de-travail-1-copie-2-1.jpg;Situé au cur de Shawinigan, le Broue Pub & Resto - Le Trou du diable vous invite à découvrir une ambiance conviviale et décontractée. Avec 16 bières artisanales brassées localement, des vins biologiques et une sélection de spiritueux raffinés, chaque gorgée promet une expérience authentique. Sa cuisine généreuse, préparée avec des produits du terroir, ravira les amateurs de bonnes tables. Que ce ;YOURTE EXPÉRIENCE CHARLEVOIX
Robindesbois;Café Bar Restaurant;Restaurant;Montréal;Montréal;operation@robindesbois.ca;514 288-1010;https://www.robindesbois.ca;3933, av. du Parc Lafontaine;H2L0C7;45.525151,-73.569769;https://www.facebook.com/tr?id=1125747401423364&ev=PageView&noscript=1;Situé au cur de Montréal, le Robin des Bois est un café et bar engagé, offrant une expérience unique alliant gastronomie, culture et convivialité. Cet établissement à but non lucratif propose des plats faits maison savoureux et une sélection de boissons qui raviront tous les palais. Avec une programmation variée incluant des événements tels que des brunchs drag, des soirées bingo ou des concerts ;Yoko Luna
Palmamtl;Café Bar Restaurant;Restaurant;Montréal;Montréal;;438 380-7256;https://palmamtl.ca;100 Rue Peel;H3C 0L8;45.4929204,-73.5571401;https://palmamtl.ca/wp-content/uploads/2022/10/PALMA_Logo-GT-300x98.png;Situé au cur de Griffintown, le restaurant Palma vous invite à vivre une expérience culinaire immersive, alliant goût raffiné et mixologie sur mesure. Sa cuisine néo-américaine, rehaussée d'influences asiatiques, émerveille les papilles avec des plats frais et savoureux, tels que les crevettes épicées et le rouleau surf-and-turf. L'ambiance unique est agrémentée de musique live, offrant une atmos;YMCA KANAWANA
Cafecambio;Café Bar Restaurant;Restaurant;Saguenay;Saguenay;cgcambio@gmail.com;418 549-7830;http://www.cafecambio.ca;414, rue Racine E.;G7H 1T3;48.428112,-71.055514;https://cafecambio.ca/wp-content/uploads/2025/08/CC10-1200x500-Picsart-AiImageEnhancer-1240x517.png;Situé au cur de Chicoutimi, le Café Cambio est une coopérative de solidarité qui allie restaurant santé et micro-brûlerie de café certifié équitable et biologique. Depuis 2005, il se distingue par son engagement envers le commerce équitable et le développement durable, ainsi que par ses choix de consommation responsable. Avec une ambiance chaleureuse, ce lieu de rencontre et de partage accueille ;YEWASKA
Ecluse 10;Café Bar Restaurant;Restaurant;Saint-Ours;Pierre-De Saurel;contact@ecluse10.com;450 402-1144;http://www.ecluse10.com;2945, ch. des Patriotes;J0G 1P0;45.864557,-73.144797;https://cdn.prod.website-files.com/60086d19f24bae62ff9eea30/60086d1a7065770499010946_instagram.svg;Situé à Saint-Ours, au bord du chemin des Patriotes, ce café de spécialité et micro-torréfacteur vous invite à vivre une expérience authentique et chaleureuse. L'atmosphère conviviale de cet établissement vous fera sentir comme chez vous. Dégustez des délices faits maison, tels que des sandwichs panini gourmands, des tartares savoureux et des douceurs glacées, accompagnés de bières provenant de mi;Wordpress
Lulubistro;Café Bar Restaurant;Restaurant;;;;450-449-5885;https://lulubistro.com;1025 Rue Lionel-Daunais, Boucherville;J4B 8R4;;https://isteam.wsimg.com/ip/457c3ed0-b2c2-4e37-80da-1d92cbb3376e/Moules%20Diable%2C%20Langoustine%2C%20Royale.jpg;Situé à Boucherville, le Bistro & Moulerie est une véritable institution qui a su séduire les gourmands depuis 2006. Avec sa terrasse spacieuse, c'est l'endroit idéal pour apprécier un déjeuner ou un apéritif ensoleillé. Le restaurant propose un menu varié et met à l'honneur ses fameuses moules, disponibles à volonté les mardis et mercredis, accompagnées d'une sélection de 28 sauces uniques. Parfa;VUE SUR LA MONTAGNE
Sesamerestaurant;Café Bar Restaurant;Restaurant;Montréal;Montréal;info@sesamerestaurant.ca;514 439-4576;http://www.sesamerestaurant.ca;380 Rue Saint-Jacques;H2Y 1S1;45.5019364,-73.55941299999;http://sesamerestaurant.ca/cdn/shop/files/Site_web_cover.png?v=1715965886;Sésame est un restaurant asiatique situé à Boucherville, offrant une expérience culinaire conviviale dans une ambiance chaleureuse. Que ce soit pour une petite ou grande occasion, son menu varié inclut des plats sucrés, salés, végétariens et même vegan, le tout préparé avec des ingrédients frais et de qualité. L'établissement propose également une sélection de boissons, allant des cocktails aux bi;Voltizone
Lesavini;Café Bar Restaurant;Restaurant;Québec;Québec;info@lesavini.com;418 692-4447;https://lesavini.ca;32 Rue Sainte-Anne;G1R 3X3;46.8131448,-71.2066291;https://framerusercontent.com/assets/VffuhXwuQz3WlrGXBWzuAofGUA.jpg;Savini vous plonge au cur d'une expérience gastronomique italienne authentique à Québec. Dans une ambiance chaleureuse et raffinée, chaque plat est préparé avec soin, reflétant la passion de la cuisine italienne. Que vous soyez amateur de pâtes artisanales, de viandes savoureuses ou de desserts délicats, le menu soigneusement élaboré saura ravir vos papilles. Savini est l'endroit idéal pour une s;Voile Mercator
Raffields;Café Bar Restaurant;Restaurant;Lac-Brome;Brome-Missisquoi;raffieldscentrale@gmail.com;579 831-0203;https://www.raffields.ca;255 Chemin Knowlton;J0E 1V0;45.2161762,-72.509193;https://static.wixstatic.com/media/02e32a_cb14605855654f94bc3d9c3be4232cb5~mv2.png/v1/crop/x_718,y_551,w_1975,h_1530/fill/w_171,h_132,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Raffields_MasterLogos_RGB300dpi_White.png;Raffields Centrale, situé à Knowlton dans les Cantons-de-l'Est, est le projet touchant de Mimi Kuflik, petite-fille d'une famille bien ancrée dans la région. Ce charmant endroit, installé dans une ferme en pierre, est conçu pour être un lieu de rencontre convivial. Ici, vous pourrez déguster des produits frais et locaux, allant de savoureuses soupes et salades à des pâtisseries maison. Que ce soit;Vin Polisson
Aubergeduportage;Café Bar Restaurant;Restaurant;Notre-Dame-du-Portage;Rivière-du-Loup;info@aubergeduportage.qc.ca;418 862-3601;https://aubergeduportage.qc.ca/restaurant;671, rte du Fleuve;G0L 1Y0;47.7637061,-69.6148121;https://aubergeduportage.qc.ca/wp-content/uploads/2018/07/logo-auberge-nddp-blanc.png;Nichée sur les berges du fleuve Saint-Laurent à Notre-Dame-du-Portage, l'Auberge du Portage allie élégance et charme victorien du début du siècle. Cet établissement propose une expérience gastronomique mémorable, avec un menu varié qui change chaque jour, inspiré de la cuisine française. Les clients peuvent savourer un déjeuner buffet continental, ainsi qu'une table d'hôte raffinée pour le dîner, ;VILLA JEANNE WOW
Montagnecoupee;Café Bar Restaurant;Restaurant;Saint-Jean-de-Matha;Matawinie;info@montagnecoupee.com;450 886-3891;http://www.montagnecoupee.com;1000, chemin de la Montagne-Coupée;J0K 2S0;46.1939518,-73.500232;https://montagnecoupee.com/wp-content/uploads/2025/08/og-montagne-coupee.jpg;Nichée en pleine forêt dans la région de Lanaudière, l'Auberge de la Montagne Coupée est un lieu idéal pour se reconnecter avec la nature et vivre des événements mémorables. Que ce soit pour un mariage, une célébration ou une réunion corporative, cet établissement allie confort et professionnalisme dans un cadre apaisant. Offrant divers forfaits, allant de l'escapade détente au séjour gourmand, l';VILLA DU GRAND FLEUVE
Belloristorante;Café Bar Restaurant;Restaurant;Québec;;;418 694 0030;https://belloristorante.com;73 rue St-Louis;;;https://belloristorante.com/wp-content/uploads/2013/07/vino-700x300.jpg;Nichée au cur du Vieux-Québec, la terrasse de Terraza vous invite à savourer des moments ensoleillés autour d'un repas exquis. Dégustez des pâtes fraîches faites maison, de la viande du terroir haut de gamme et un risotto divin, le tout dans une ambiance chaleureuse et accueillante. Ne manquez pas l'opportunité de terminer votre soirée avec nos cafés et desserts flambés à votre table, offrant une;VILLA AZUR
Lesancetres;Café Bar Restaurant;Restaurant;Saint-Pierre-de-l'Île-d'Orléans;L'Île-d'Orléans;info.lesancetres@gmail.com;418 828-2718;http://www.lesancetres.ca;1101, ch. Royal;G0A 4E0;46.866529,-71.109942;http://www.lesancetres.ca/public/images/t.png;Nichée à l'entrée de l'île d'Orléans, Les Ancêtres Auberge & Restaurant vous accueille dans un cadre champêtre à seulement 15 minutes du Vieux-Québec. Avec sa terrasse panoramique et sa verrière, profitez de vues imprenables notamment sur les Chutes Montmorency. Cette auberge au charme rustique allie confort intimiste et cuisine du terroir, avec des plats inspirés tant par la tradition que par l'i;VERBIER 104-3010 ALLEE DU VALAIS
Baiebleue;Café Bar Restaurant;Restaurant;;;;1 800 463-9099;https://baiebleue.com;;;;http://www.baiebleue.com/images/logo.png;Niché en Gaspésie, l'Hôtel Baie Bleue offre une expérience inoubliable grâce à son accueil chaleureux et ses chambres confortables avec vue imprenable sur la baie. Les clients peuvent profiter de magnifiques couchers de soleil directement depuis leur chambre. Le complexe propose également un pub accueillant où des plats variés raviront tous les palais. Avec un stationnement pratique et une piscine;Vélo de montagne - Ski Montcalm
Vallierbistro;Café Bar Restaurant;Restaurant;Montréal;Montréal;info@vallierbistro.com;514 842-2905;https://vallierbistro.com;425, rue McGill;H2Y 2H1;45.5004778,-73.5580011;https://vallierbistro.com/wp-content/themes/vallier/img/og-fb.png;Niché dans le Vieux-Montréal, le bistro Vallier est un lieu chaleureux et dynamique où innovation culinaire et traditions locales se rencontrent. Inspiré par la cuisine montréalaise, le menu propose des plats réconfortants comme des salades généreuses et la fameuse poutine, le tout accompagné d'une sélection de vins et de cafés authentiques. L'atmosphère évoque à la fois le charme français et le s;Vélo | Chaudière-Appalaches près de Québec
Barroco;Café Bar Restaurant;Restaurant;Montréal;Montréal;info@barroco.ca;514 544-5800;http://www.barroco.ca;312, rue St-Paul O.;H2Y 2A3;45.501444,-73.556042;http://static1.squarespace.com/static/689e1ba7f8e0aa7321828019/t/68d57390a2c11809535e5566/1758819216966/DSC06614.jpeg?format=1500w;Niché au cur du Vieux-Montréal, Barroco est un steakhouse dinspiration française qui se consacre à la richesse du terroir québécois depuis 2008. Ce restaurant allie avec élégance les saveurs traditionnelles françaises aux produits locaux, créant une expérience culinaire authentique et chaleureuse. Les viandes, méticuleusement sélectionnées auprès de petits éleveurs, sont sublimées par un savoir-;Vacances, voyages et séjours en Outaouais | Régions du Québec | Bonjour Québec
Chezboulay;Café Bar Restaurant;Restaurant;Québec;Québec;info@chezboulay.com;418 380-8166;https://www.chezboulay.com;1110, rue St-Jean;G1R 1S4;46.814646,-71.210782;https://chezboulay.com/wp-content/uploads/2019/11/chezboulay-og-facebook-1200x630.png;Niché au cur du Québec, Chez Boulay est un restaurant innovant qui célèbre la cuisine nordique avec une touche locale. Depuis 2012, le chef Jean-Luc Boulay et son équipe passionnée s'inspirent des richesses de la faune et de la flore boréales pour offrir une expérience culinaire unique. Les plats mettent en avant des ingrédients tels que gibier, poissons deau douce et fruits sauvages, le tout pr;Vacances, voyages et séjours en Montérégie | Régions du Québec | Bonjour Québec
Sangennaro;Café Bar Restaurant;Restaurant;;;;(514) 273-6868;https://sangennaro.ca;69 Rue Saint-Zotique Est Number;;;https://sangennaro.ca/wp-content/themes/ci-san-gennaro/assets/images/icon_loader.png;Niché au cur du quartier Little Italy à Montréal, le restaurant San Gennaro vous invite à découvrir l'authenticité de la cuisine italienne du sud. Fondé en 2015, cet établissement familial met un point d'honneur à servir une délicieuse pizza romaine al taglio, des gelati artisanaux et des pâtisseries authentiques, tous préparés avec des ingrédients de première qualité. L'atmosphère chaleureuse et;Vacances, voyages et séjours en Mauricie | Régions du Québec | Bonjour Québec
Pubstpascal;Café Bar Restaurant;Restaurant;Saint-Pascal;Kamouraska;lesaintpascal@videotron.ca;418 492-5535;http://www.pubstpascal.ca/lepub;535 Boulevard Hébert;G0L 3Y0;47.5269831,-69.80303839999;https://pubstpascal.ca/wp-content/themes/Divi/images/logo.png;Niché au cur du Kamouraska, Le Saint-Pascal est un restaurant bistronomique au charme chaleureux qui invite à la convivialité. Installé dans une maison centenaire, cet établissement se distingue par son ambiance décontractée et sa magnifique terrasse chauffée, parfaite pour savourer des plats préparés avec des produits du terroir. Le menu varié propose des pâtes, des pizzas, des burgers, des frui;VACANCES MINGANIE
Domainedelatemplerie;Café Bar Restaurant;Restaurant;Huntingdon;Le Haut-Saint-Laurent;domainetemplerie@hotmail.fr;450 264-9405;http://www.domainedelatemplerie.com;312, ch. New Erin;J0S1H0;45.1435916,-74.1419192;https://domainedelatemplerie.com/wp-content/uploads/2024/08/Templerie-final-out-line-1.png;Niché au cur des champs et des boisés de Godmanchester, le Domaine de la Templerie est une maison ancestrale de 175 ans qui vous invite à savourer des tables champêtres authentiques. Ce site de 153 acres, dirigé par François Guillon et son équipe, offre une cuisine délicieuse, élaborée à partir des produits de la ferme, avec un taux de 85 à 90 % de fraîcheur locale à certaines périodes. Vous pour;UNIVERSITÉ CONCORDIA
Iberica;Café Bar Restaurant;Restaurant;Montréal;Montréal;info@iberica.ca;514 285-1888;https://www.iberica.ca;1450 Rue Peel;H3A 1S8;45.5004379,-73.574197;https://www.facebook.com/tr?id=674755113006608&ev=PageView&noscript=1;Niché au cur de Montréal, le Restaurant Ibérica vous invite à un voyage culinaire en terre ibérique. Avec son ambiance chaleureuse et conviviale, cet établissement propose une expérience gastronomique authentique, mettant à l'honneur des mets traditionnels espagnols et portugais. Les plats savoureux, préparés avec des ingrédients frais et de qualité, vous transporteront au cur de la péninsule ib;UNITÉ 35
Lolarosa;Café Bar Restaurant;Restaurant;Montréal;Montréal;info@lola-rosa.ca;514 287-9337;https://lolarosa.ca;545 Rue Milton;H2X 1W5;45.5072703,-73.575801;https://lola-rosa.ca/wp-content/uploads/2025/10/Capture-decran-2025-10-28-a-17.56.46.png;Niché au cur de la Place des Arts à Montréal, le restaurant Milton Traiteur offre une expérience culinaire unique. Cet établissement spacieux et chaleureux propose une cuisine raffinée, idéale pour une sortie en famille, un repas entre amis ou un événement privé. Avec une atmosphère conviviale et élégante, chaque plat est préparé avec soin, mettant en avant des ingrédients locaux. Profitez d'un s;ULM QUÉBEC
Bwmicrobrasserie;Café Bar Restaurant;Restaurant;Montréal, Québec;Mauricie, Montréal;info@bwmicrobrasserie.com;819 731-3513;https://bwmicrobrasserie.com;;G9N 8N8;;https://bwmicrobrasserie.com/wp-content/uploads/2023/10/Publication-Facebook.jpg;Niché à Shawinigan en Mauricie, le Broadway microbrasserie est un lieu de rencontre convivial où amis et familles se retrouvent dans une ambiance chaleureuse. Avec sa terrasse ombragée et son nouveau patio quatre saisons, il offre un cadre idéal pour savourer des bières artisanales tout en profitant de lanimation des matchs de hockey à proximité. Au-delà de ses délicieuses bières, le Broadway pro;Trattoria Fugazzi
Edmondbistro;Café Bar Restaurant;Restaurant;Laval;Laval;edmondbistro@gmail.com;450 669-7777;https://www.edmondbistro.com;1454 Boulevard Saint-Martin Ouest;H7S 1M9;45.5693996,-73.724113;https://static.wixstatic.com/media/6be207_030795a34f50497dbd6b12df14ac9684~mv2.jpg/v1/fill/w_1800,h_1196,al_c/6be207_030795a34f50497dbd6b12df14ac9684~mv2.jpg;Niché à Laval, le Restaurant Edmond Bistro vous invite à découvrir une expérience culinaire variée dans une ambiance chaleureuse. Avec un menu bistro mettant en avant des pâtes fraîches, des pizzas à croûte mince et des plats signatures comme la bavette de boeuf Black Angus, chaque repas se transforme en un moment de délice. Idéal pour un lunch d'affaires, un dîner en famille ou une soirée entre a;Tourisme, vacances et séjour en Gaspésie | Régions du Québec | Bonjour Québec
Meuleetcaquelon;Café Bar Restaurant;Restaurant;Gatineau;Gatineau;info@meuleetcaquelon.com;819 246-6962;https://www.meuleetcaquelon.com/fr;74, boul. Gréber;J8T3P8;45.4640254,-75.7001232;https://www.meuleetcaquelon.com/wp-content/uploads/2022/01/reservation.png;Niché à Gatineau, le restaurant Meule et Caquelon vous invite à découvrir une cuisine suisse authentique, avec des spécialités comme la fondue chinoise, la raclette et les fondues au fromage. L'atmosphère chaleureuse et cordiale de ce restaurant gastronomique européen promet une expérience unique et agréable. Le service y est réputé pour son excellence, et la diversité des menus ravira tous les pa;Tourisme, vacances et séjour dans le Bas-Saint-Laurent | Régions du Québec | Bonjour Québec
