id;slug;titre_fr;titre_en;region_touristique;region_num;ville;adresse;telephone;site_web;courriel;latitude;longitude;categorie_thematique_fr;categorie_thematique_en;potentiel_affiliation_fr;potentiel_affiliation_en;resume_fr;resume_en;texte_complet_fr;hebergement_eco;hebergement_confort;hebergement_haut_gamme;restaurants_proximite;activites_ete;activites_hiver
41;observatoire-de-lastrobleme-de-charlevoix;Observatoire de l'Astroblème de Charlevoix;Charlevoix Astrobleme Observatory;Charlevoix;3;La Malbaie;La Malbaie (QC) G5A 1A1;;;;47.6;-70.2;Parc national / Nature;National Park / Nature;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Dédié à la compréhension du cratère météoritique qui a façonné l'ensemble du relief charlevoisien, ce centre propose des visites commentées explorant la géologie, l'origine et les conséquences humaines de cet impact survenu il y a 350 millions d'années.;Dedicated to understanding the meteorite crater that shaped the entire Charlevoix landscape, this centre offers guided tours exploring the geology, origin, and human consequences of an impact that occurred 350 million years ago.;L'astroblème de Charlevoix constitue l'attraction géologique fondamentale qui explique l'ensemble de la topographie distinctive de la région : ce cratère météoritique de 56 kilomètres de diamètre, créé par l'impact d'une météorite de deux kilomètres de diamètre il y a environ 350 millions d'années, a façonné un relief montagneux qui plonge abruptement dans le fleuve Saint-Laurent, conditionnant directement les patterns de peuplement humain et le développement touristique de l'ensemble du territoire charlevoisien depuis des siècles. Des visites commentées, organisées quotidiennement en juillet et en août depuis Baie-Saint-Paul par un organisme scientifique à but non lucratif, et offertes sur demande durant le reste de l'année, permettent aux visiteurs curieux de mieux comprendre la géologie de cet impact exceptionnel, son origine cosmique, ainsi que les aménagements humains rendus possibles ou contraints par cette topographie particulière, sans oublier la flore diversifiée que cette configuration géologique unique a favorisée au fil des millions d'années suivant l'impact. L'astroblème demeure largement invisible au niveau du sol pour un œil non averti, sa forme circulaire ne devenant véritablement perceptible que depuis les hauteurs, notamment depuis le sommet du mont du Lac-des-Cygnes dans le parc national des Grands-Jardins, faisant de la combinaison entre visite guidée explicative et ascension d'un point de vue élevé l'expérience la plus complète pour appréhender ce phénomène géologique qui demeure la clé de compréhension de l'ensemble du paysage régional.;AUBERGE FLEURS DE LUNE (2.0 km) | AUBERGE FLEURS DE LUNE (2.0 km) | AUBERGE FLEURS DE LUNE (2.0 km);AUBERGE À LA CHOUENNE (2.0 km) | AUBERGE DES NUAGES (2.1 km) | MAISON DES LILAS (2.3 km);;Restaurant Le Riviera (2.9 km) | Resto-Pub Belles et Bum (2.9 km) | Vices Versa (3.0 km) | Restaurant L'Orchidée (3.4 km) | Chez Truchon (4.7 km);Port de refuge de Cap-à-l'Aigle inc. (2.3 km) | Les Jardins du Cap-à-l'Aigle (2.4 km) | Katabatik - Aventure dans Charlevoix / Kayak de mer hivernal  (2.6 km) | Spa O'Quartz (5.9 km) | Moment Spa Le Manoir Richelieu (6.0 km);Sentiers Mont des Morios (10.6 km) | Mont Grand-Fonds / Ski alpin et planche à neige (10.6 km) | Mont Grand-Fonds (10.8 km) | Descente Malbaie (20.4 km)
42;route-des-saveurs-de-charlevoix;Route des Saveurs de Charlevoix;Charlevoix Flavour Trail;Charlevoix;3;Baie-Saint-Paul;Circuit agrotouristique, de Baie-Saint-Paul à La Malbaie, Charlevoix (QC);;;;47.55;-70.35;Routes et circuits thématiques;Themed Routes & Circuits;Hébergement seulement;Accommodation only;Regroupant plus d'une quarantaine de producteurs et de restaurateurs entre Baie-Saint-Paul et La Malbaie, ce circuit gastronomique fondé sur l'agriculture distinctive de Charlevoix permet de découvrir fromages, cidres, chocolats et autres spécialités du terroir directement chez leurs artisans.;Bringing together more than forty producers and restaurateurs between Baie-Saint-Paul and La Malbaie, this gourmet trail, rooted in Charlevoix's distinctive agriculture, lets visitors discover cheeses, ciders, chocolates, and other local specialties directly from their makers.;La Route des Saveurs de Charlevoix s'est développée au fil des décennies pour devenir l'un des circuits agrotouristiques les plus aboutis et les plus densément fréquentés du Québec, reliant aujourd'hui plus d'une quarantaine de producteurs et de restaurateurs répartis le long de l'axe principal reliant Baie-Saint-Paul à La Malbaie. Cette concentration exceptionnelle de fermes, fromageries, cidreries, chocolateries et tables gastronomiques s'explique en partie par la qualité particulière des terres charlevoisiennes, façonnées par l'impact météoritique ancien et par un microclimat maritime distinctif qui favorise certaines productions agricoles spécifiques, dont les célèbres fromages de la Laiterie Charlevoix et de la Maison d'affinage Maurice Dufour, producteur notamment de la Tomme de Brebis de Charlevoix et du fromage Migneron, devenus emblématiques de l'identité gastronomique régionale. Au-delà de la simple dégustation, plusieurs producteurs proposent des visites guidées de leurs installations, permettant aux visiteurs de comprendre concrètement les méthodes de production traditionnelles ou innovantes employées, dans un esprit de transparence et de pédagogie agroalimentaire qui caractérise de plus en plus l'offre touristique québécoise contemporaine. Cette route gastronomique, particulièrement appréciée des visiteurs combinant plein air et gourmandise, s'inscrit en complémentarité naturelle avec l'offre culturelle de Baie-Saint-Paul et l'offre patrimoniale de La Malbaie, formant collectivement une proposition touristique complète où nature, art et gastronomie se renforcent mutuellement pour façonner l'identité distinctive de Charlevoix.;GÎTE AUX PETITS OISEAUX (0.2 km) | GÎTE AUX PETITS OISEAUX (0.2 km) | MOTEL-BOUTIQUE HYGGE (0.4 km);AUBERGE ANCRAGE (0.5 km) | À LA CHOUETTE (0.5 km) | GÎTE COEURORANGE (0.6 km);HÔTEL & SPA LE GERMAIN CHARLEVOIX (0.2 km) | HÔTEL-AUBERGE LA GRANDE MAISON ET SPA (1.1 km) | HÔTEL-AUBERGE LA GRANDE MAISON ET SPA (1.1 km);Les Labours (0.2 km) | Le Bercail (0.2 km) | Restaurant l'Orange Bistro (0.4 km) | Le Saint-Pub / MicroBrasserie Charlevoix (0.7 km) | Auberge la Fascine - Bistro Culturel (9.3 km);Spa Nordique Le Germain (0.2 km) | Réseau de Sentiers de la MRC de Charlevoix (0.5 km) | Centre de bain thermal et Centre santé Le Marion (1.0 km) | Plage du camping Le Genévrier (1.2 km) | Katabatik - Aventure dans Charlevoix (1.3 km);Réseau de Sentiers de la MRC de Charlevoix (0.5 km) | Katabatik - Aventure dans Charlevoix (1.3 km) | Sentier Les Florent (4.9 km)
43;rocher-perce;Rocher Percé;Percé Rock;Gaspésie;4;Percé;Visible depuis le quai de Percé, route 132, Percé (QC) G0C 2L0;;tourisme-gaspesie.com;;48.5247;-64.2128;Découverte et culture;Discovery & Culture;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Symbole le plus reconnaissable de la Gaspésie, cet immense rocher calcaire percé d'une arche naturelle se dresse à quelques centaines de mètres de la côte, formé il y a environ 400 millions d'années.;Gaspésie's most recognizable symbol, this massive limestone rock pierced by a natural arch rises just a few hundred metres offshore, formed roughly 400 million years ago.;"Mentionné déjà par Samuel de Champlain en 1603 sous l'appellation « Isle Percée », le rocher a perdu plusieurs de ses arches au fil des siècles sous l'effet de l'érosion — il n'en subsiste aujourd'hui qu'une seule, à son extrémité. L'accès direct au pied du rocher est désormais interdit afin de protéger les colonies d'oiseaux marins qui s'y reproduisent; on l'admire depuis le village ou lors d'une excursion en mer qui permet d'en faire le tour. Percé, qui doit son nom à cette formation, est membre de l'Association des plus beaux villages du Québec et fait partie d'un Géoparc mondial reconnu par l'UNESCO.";DÔMES ROCHER PERCÉ AU DOMAINE RENARD (1.2 km) | DÔMES ROCHER PERCÉ AU DOMAINE RENARD (1.2 km) | FOLIES BORÉALES (1.4 km);HOTEL LE MIRAGE (1.6 km) | RIÔTEL PERCÉ (1.7 km) | HÔTEL-MOTEL MANOIR PERCÉ (1.8 km);;Paqbo (1.6 km) | Hôtel La Normandie (1.8 km) | Hôtel-motel Manoir de Percé (1.8 km) | Restaurant La Maison Mathilde (2.3 km) | Café-Bistro La Vieille Usine (7.0 km);Géoparc mondial UNESCO de Percé (2.0 km) | Les sentiers pédestres de Percé (2.2 km) | Parc national de l'Île-Bonaventure-et-du-Rocher-Percé (2.2 km) | Camp de Base Gaspésie (5.8 km) | Microbrasserie Pit Caribou (7.1 km);Géoparc mondial UNESCO de Percé (2.0 km) | Les sentiers pédestres de Percé (2.2 km) | Camp de Base Gaspésie (5.8 km) | Nordet (13.0 km)
44;parc-national-de-lile-bonaventure-et-du-rocher-perce;Parc national de l'Île-Bonaventure-et-du-Rocher-Percé;Île-Bonaventure-et-du-Rocher-Percé National Park;Gaspésie;4;Percé;4, rue du Quai, Percé (QC) G0C 2L0;418 782-2240;sepaq.com/pq/bon;;48.5333;-64.1833;Parc national / Nature;National Park / Nature;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Accessible uniquement par bateau depuis le quai de Percé, l'île Bonaventure abrite la plus importante et la plus accessible colonie de fous de Bassan au monde, avec plus de 100 000 individus nicheurs.;Accessible only by boat from the Percé wharf, Bonaventure Island is home to the largest and most accessible Northern gannet colony in the world, with more than 100,000 nesting birds.;L'île, fréquentée dès le régime français par des pêcheurs saisonniers venus d'Irlande, de France (Pays basque, Normandie, Bretagne) puis colonisée durablement par des compagnies anglo-normandes pratiquant la pêche à la morue, fut habitée presque trois siècles avant que le gouvernement du Québec n'en fasse une réserve naturelle en 1971. Les quatre sentiers de l'île, totalisant 15 km, traversent prairies, falaises et forêt de conifères jusqu'à la spectaculaire colonie de fous de Bassan, où se mêlent également guillemots et petits pingouins, formant une concentration d'environ 250 000 oiseaux marins.;DÔMES ROCHER PERCÉ AU DOMAINE RENARD (1.2 km) | DÔMES ROCHER PERCÉ AU DOMAINE RENARD (1.2 km) | FOLIES BORÉALES (1.4 km);HOTEL LE MIRAGE (1.6 km) | RIÔTEL PERCÉ (1.7 km) | HÔTEL-MOTEL MANOIR PERCÉ (1.8 km);;Paqbo (1.6 km) | Hôtel La Normandie (1.8 km) | Hôtel-motel Manoir de Percé (1.8 km) | Restaurant La Maison Mathilde (2.3 km) | Café-Bistro La Vieille Usine (7.0 km);Géoparc mondial UNESCO de Percé (2.0 km) | Les sentiers pédestres de Percé (2.2 km) | Parc national de l'Île-Bonaventure-et-du-Rocher-Percé (2.2 km) | Camp de Base Gaspésie (5.8 km) | Microbrasserie Pit Caribou (7.1 km);Géoparc mondial UNESCO de Percé (2.0 km) | Les sentiers pédestres de Percé (2.2 km) | Camp de Base Gaspésie (5.8 km) | Nordet (13.0 km)
45;parc-national-forillon;Parc national Forillon;Forillon National Park;Gaspésie;4;Gaspé;1303, boulevard de Forillon, Gaspé (QC) G4X 7Z9;;parcs.canada.ca/pn-np/qc/forillon;;48.9119;-64.2575;Parc national / Nature;National Park / Nature;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;À l'extrémité nord-est de la péninsule, là où la mer rencontre la montagne, Forillon combine falaises calcaires, plages, sentiers spectaculaires et un riche patrimoine de pêche, sur près de 245 km².;At the peninsula's northeastern tip, where sea meets mountain, Forillon combines limestone cliffs, beaches, spectacular trails, and a rich fishing heritage across nearly 245 km².;Premier parc national fédéral du Québec, créé en 1970, Forillon doit son nom à un terme désignant une formation rocheuse isolée en mer. Le parc se distingue par la rencontre spectaculaire entre les derniers contreforts des Appalaches et le golfe du Saint-Laurent, créant des falaises de calcaire et de grès qui plongent abruptement dans une mer où il est possible d'observer phoques gris et parfois des baleines depuis le littoral. Le secteur de Cap-Gaspé, point le plus oriental accessible par sentier pédestre, marque symboliquement la fin des Appalaches après leur parcours de plus de 3000 kilomètres depuis l'Alabama, tandis que les villages d'autrefois, expropriés lors de la création du parc, ont laissé place à des sites d'interprétation poignants sur la vie quotidienne des pêcheurs-cultivateurs gaspésiens du XIXe et du début du XXe siècle.;CAMPING PARC NATURE GASPÉ (6.3 km) | AUBERGE MINVILLE (6.9 km) | PAVILLONS ANNA MABEL (6.9 km);RODEWAY INN GASPÉ (6.8 km) | HÔTEL PLANTE (6.9 km) | HÔTEL BAKER (7.1 km);;Bistro-bar le Brise-Bise (6.9 km) | Petit Café de L'Anse (12.4 km) | Resto-Pub La Révolte (16.5 km);Horizon (6.6 km) | Marina de Gaspé / Club nautique Jacques-Cartier/École de voile le Cormoran (6.6 km) | Cap Aventure (7.5 km) | Plage Haldimand (7.6 km) |  Croisières Baie de Gaspé / Safari aux baleines (7.6 km);Horizon (6.6 km) | Mont-Béchervaise / Glissade sur neige (10.8 km) | Centre de Ski Mont-Béchervaise (10.9 km)
46;parc-national-de-la-gaspesie;Parc national de la Gaspésie;Gaspésie National Park;Gaspésie;4;Sainte-Anne-des-Monts;Centre de découverte et de services, Sainte-Anne-des-Monts (QC) G4V 2E4;1 800 665-6527;sepaq.com/pq/gas;;48.9667;-65.95;Parc national / Nature;National Park / Nature;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Véritable mer de montagnes au cœur de la péninsule, ce parc protège 25 sommets dépassant 1000 mètres, dont le mont Jacques-Cartier, second plus haut sommet du Québec, et abrite l'unique harde de caribous des bois au sud du fleuve Saint-Laurent.;A true sea of mountains at the heart of the peninsula, this park protects 25 summits over 1,000 metres, including Mont Jacques-Cartier, Québec's second-highest peak, and shelters the only woodland caribou herd south of the St. Lawrence River.;Créé en 1937 — troisième parc du Québec après ceux du Mont-Tremblant et des Laurentides — le parc national de la Gaspésie protège un échantillon exceptionnel du massif gaspésien réparti entre deux ensembles montagneux distincts sur le plan géologique : les monts Chic-Chocs à l'ouest, formés lors de l'orogenèse taconienne et comprenant le mont Albert, dont la composition en serpentine constitue un phénomène rare à la surface terrestre, et les monts McGerrigle à l'est, issus d'une intrusion de magma refroidi en granite, dont fait partie le mont Jacques-Cartier culminant à 1268 mètres. La harde de caribous des bois qui fréquente les plateaux du parc constitue l'une des deux seules populations de l'écotype montagnard de l'Est de l'Amérique du Nord, l'autre se trouvant aux monts Torngat au Labrador, faisant de ce territoire l'unique refuge de l'espèce au sud du fleuve Saint-Laurent. Le Gîte du Mont-Albert, auberge historique fêtant en 2025 son 75e anniversaire, offre un hébergement confortable au pied des sommets, complété par dix-huit chalets typiques et un réseau de sentiers reliant le centre de découverte aux principaux attraits du parc, dont le cirque glaciaire du lac aux Américains et le plateau du mont Albert, véritable oasis de toundra alpine où un garde-parc naturaliste accueille les visiteurs en saison estivale.;AUBERGE INTERNATIONALE SAINTE-ANNE-DES-MONTS (3.0 km) | AUBERGE INTERNATIONALE SAINTE-ANNE-DES-MONTS (3.0 km) | CAMPING DU PARC NATIONAL DE LA GASPÉSIE - SÉPAQ (3.2 km);MONDE SAUVAGE (3.7 km) | HÔTEL & CIE (4.6 km) | MOTEL À LA BRUNANTE (4.6 km);AUBERGE GÎTE DU MONT-ALBERT (3.2 km) | AUBERGE GÎTE DU MONT-ALBERT (3.2 km) | AUBERGE GÎTE DU MONT-ALBERT (3.2 km);Le Serpentine (3.3 km) | Auberge Château Lamontagne (3.7 km);Havre polyvalent de Sainte-Anne-des-Monts (4.6 km) | Centre de plein air de la Haute-Gaspésie / Ski alpin et planche à neige (6.5 km) | Club de golf Le Gaspésien (7.3 km) | Cap Castor Ski hors piste (8.6 km) | Expé Aventures (8.6 km);Centre de plein air de la Haute-Gaspésie / Ski alpin et planche à neige (6.5 km) | Extrême Chic-Chocs Inc. (6.5 km) | Cap Castor Ski hors piste (8.6 km) | Expé Aventures (8.6 km) | Cap Vers l'Est (9.5 km)
47;site-historique-national-du-banc-de-peche-de-paspebiac;Site historique national du Banc-de-Pêche-de-Paspébiac;Paspébiac Fishing Bank National Historic Site;Gaspésie;4;Paspébiac;Paspébiac (QC) G0C 2K0;;parcs.canada.ca/lhn-nhs/qc/paspebiac;;48.02977941428571;-65.26179928571429;Histoire et patrimoine;History & Heritage;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Témoin de l'âge d'or de la pêche à la morue en Gaspésie, ce site préserve un ensemble unique de bâtiments commerciaux érigés entre le XVIIIe et le XXe siècle par de grandes compagnies de pêche jersiaises qui dominèrent l'économie régionale pendant près de deux siècles.;A witness to the golden age of cod fishing in Gaspésie, this site preserves a unique set of commercial buildings erected between the 18th and 20th centuries by major Jersey fishing companies that dominated the regional economy for nearly two centuries.;Le site historique national du Banc-de-Pêche-de-Paspébiac retrace l'histoire économique fondamentale de la Gaspésie, dont le développement reposa pendant près de deux siècles sur l'exploitation industrielle de la morue par de puissantes compagnies commerciales, notamment les firmes jersiaises Charles Robin and Company et LeBoutillier Brothers, qui établirent à Paspébiac un complexe d'installations comptant entrepôts, ateliers de salaison, chantiers navals et bureaux administratifs. Cette concentration d'activité commerciale, qui fit de Paspébiac l'un des centres économiques les plus importants de la péninsule gaspésienne au XIXe siècle, employait des centaines de pêcheurs locaux dans une relation économique souvent qualifiée de système de troc, où les familles de pêcheurs s'endettaient auprès des compagnies pour leur équipement en échange de leurs prises. Les bâtiments préservés sur le site, certains datant du XVIIIe siècle, permettent aujourd'hui de comprendre concrètement l'organisation matérielle de cette industrie qui façonna l'identité économique et sociale de toute la région avant son déclin progressif au XXe siècle, confrontée à l'épuisement des stocks de morue et à la concurrence de méthodes de pêche industrielle plus modernes pratiquées par d'autres nations.;MOTEL CAROL (0.4 km) | CAMPING PASPÉBIAC-SUR-MER (0.5 km) | CAMPING DU LAC DES ROBIN (1.9 km);HÔTEL LA MAISON BLANCHE (4.8 km) | GÎTE LE MANOIR DU VIEUX PRESBYTÈRE (12.4 km) | CAMP BONAVENTURE (15.1 km);;Pub Saint-Joseph (Bonaventure) (17.0 km) | Kano (18.9 km);La Belle Vie Sailing (4.9 km) | Club de golf Fauvel (12.6 km) | Bioparc de la Gaspésie (15.2 km) | Cime Aventures (15.5 km) | La Grotte de Saint-Elzéar (17.4 km);Domaine des Chutes du Ruisseau Creux (28.8 km)
48;site-historique-de-lanse-blanchette-secteur-de-forillon;Site historique de l'Anse-Blanchette (secteur de Forillon);Anse-Blanchette Historic Site (Forillon sector);Gaspésie;4;Gaspé;Parc national Forillon, Gaspé (QC) G4X 7Z9;;parcs.canada.ca/pn-np/qc/forillon;;48.8333;-64.3833;Histoire et patrimoine;History & Heritage;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Reconstitution vivante d'une exploitation familiale de pêcheurs-cultivateurs du début du XXe siècle, ce secteur du parc Forillon permet, à travers la Maison Dolbel-Roberts et l'exposition « Ces Gaspésiens du bout du monde », de découvrir le quotidien des communautés multiculturelles ayant façonné le littoral.;"A living recreation of an early-20th-century fishing and farming family operation, this sector of Forillon Park lets visitors, through the Dolbel-Roberts House and the exhibition ""These Gaspesians from the Ends of the Earth,"" discover the daily life of the multicultural communities that shaped the coastline.";Le secteur réunit les vestiges d'une communauté multiculturelle — jersiaise, irlandaise, canadienne-française, italienne, anglaise, écossaise, juive — qui a façonné cette portion de la côte gaspésienne pendant près de trois siècles. L'exposition « Ces Gaspésiens du bout du monde », présentée dans la Maison Dolbel-Roberts, retrace cette mosaïque d'origines, tandis que le site voisin de l'Anse-Blanchette permet de visiter la grange et les bâtiments agricoles d'une famille typique de pêcheurs-cultivateurs, illustrant le mode de vie combinant à la fois la pêche commerciale à la morue et une agriculture de subsistance qui caractérisait l'économie domestique de la majorité des familles gaspésiennes avant l'expropriation massive ayant accompagné la création du parc national en 1970.;CAMPING PARC NATURE GASPÉ (6.3 km) | AUBERGE MINVILLE (6.9 km) | PAVILLONS ANNA MABEL (6.9 km);RODEWAY INN GASPÉ (6.8 km) | HÔTEL PLANTE (6.9 km) | HÔTEL BAKER (7.1 km);;Bistro-bar le Brise-Bise (6.9 km) | Petit Café de L'Anse (12.4 km) | Resto-Pub La Révolte (16.5 km);Horizon (6.6 km) | Marina de Gaspé / Club nautique Jacques-Cartier/École de voile le Cormoran (6.6 km) | Cap Aventure (7.5 km) | Plage Haldimand (7.6 km) |  Croisières Baie de Gaspé / Safari aux baleines (7.6 km);Horizon (6.6 km) | Mont-Béchervaise / Glissade sur neige (10.8 km) | Centre de Ski Mont-Béchervaise (10.9 km)
49;phare-de-la-pointe-a-la-renommee;Phare de la Pointe-à-la-Renommée;Pointe-à-la-Renommée Lighthouse;Gaspésie;4;Grosses-Roches;Route de la Pointe-à-la-Renommée, L'Anse-à-Valleau (QC) G0E 1N0;;tourisme-gaspesie.com;;48.9447141;-67.1568655;Île et littoral;Islands & Coastline;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Perché à flanc de montagne avec une vue spectaculaire sur la mer, le phare de la Pointe-à-la-Renommée a la particularité d'être le phare ayant le plus voyagé au Québec, rapatrié à son site d'origine en 1997 après vingt ans d'exil à Québec.;Perched on a mountainside with a spectacular sea view, the Pointe-à-la-Renommée lighthouse holds the distinction of being Québec's most-travelled lighthouse, repatriated to its original site in 1997 after twenty years of exile in Québec City.;Le site a également accueilli, au début du XXe siècle, la première station de radio maritime Marconi en Amérique du Nord, jouant un rôle pionnier dans les communications sans fil destinées à la sécurité de la navigation dans le golfe du Saint-Laurent. Cette double vocation — phare et station radio — en fait un lieu de mémoire technologique unique, dans un cadre naturel comptant parmi les plus photogéniques de la Haute-Gaspésie.;MOTEL CHRISTIANE LÉVESQUE (10.2 km) | CAMPING AUX PIGNONS VERTS (16.2 km) | MOTEL M (17.9 km);LA NOUVELLE VAGUE (14.3 km) | GÎTE DES SOMMETS (15.4 km) | LE DOMAINE DE JOSEPH ROSS (26.2 km);RIÔTEL MATANE (28.9 km) | RIÔTEL MATANE (28.9 km);Café-crêperie Les Gamineries (14.3 km) | Cargo (29.0 km) | Brasserie artisanale La Fabrique (29.4 km);Coop Vertigo-Aventures (10.1 km) | Marina de Matane - Club Yacht Matane (28.9 km) | Plage du parc des Îles (29.6 km) | Club de Vélo Éolien de Matane (30.4 km) | Sentier International des Appalaches - Québec GR A1 (SIA-QC) (30.5 km);Coop Vertigo-Aventures (10.1 km) | Plage du parc des Îles (29.6 km) | Club de Vélo Éolien de Matane (30.4 km) | Sentier International des Appalaches - Québec GR A1 (SIA-QC) (30.5 km) | Réserve faunique de Matane (33.8 km)
50;carleton-sur-mer-et-le-mont-saint-joseph;Carleton-sur-Mer et le mont Saint-Joseph;Carleton-sur-Mer and Mont Saint-Joseph;Gaspésie;4;Carleton-sur-Mer;Parc régional du Mont-Saint-Joseph, Carleton-sur-Mer (QC) G0C 1J0;;montsaintjoseph.com;;48.10733454165466;-66.11955491828323;Divertissement et casino;Entertainment & Casino;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Dominant la Baie-des-Chaleurs depuis 555 mètres d'altitude, ce sommet sacré pour les Micmacs avant de devenir lieu de pèlerinage catholique en 1935 offre un belvédère exceptionnel sur le littoral et un spectacle son et lumière dans son oratoire historique.;Overlooking the Baie des Chaleurs from 555 metres, this summit—sacred to the Mi'kmaq before becoming a Catholic pilgrimage site in 1935—offers an exceptional lookout over the coastline and a sound-and-light show in its historic oratory.;Carleton-sur-Mer, ancien Tracadièche en langue micmac signifiant « lieu où il y a des hérons », bénéficie d'un cadre exceptionnel entre mer et montagne, son climat plus doux que la moyenne québécoise et son barachois — lagune chauffée par le sable — attirant depuis plus d'un siècle une clientèle de villégiature qui double la population locale en saison estivale. Le mont Saint-Joseph, qui domine la ville et la Baie-des-Chaleurs depuis 555 mètres d'altitude, constituait un lieu sacré pour les Micmacs, premiers habitants du territoire, bien avant que l'arrivée d'une statue du Sacré-Cœur en 1868 puis la construction d'une première chapelle en 1935 n'en fassent un site de pèlerinage catholique majeur de la région, aujourd'hui connu sous le nom d'oratoire Notre-Dame-du-Mont-Saint-Joseph. Le belvédère aménagé à flanc de falaise au sommet, accessible en voiture ou par plus de 30 kilomètres de sentiers pédestres et 35 kilomètres de sentiers de vélo de montagne, offre une vue saisissante sur la baie, le parc éolien voisin de 73 éoliennes et, par temps clair, la côte du Nouveau-Brunswick voisine, tandis que le spectacle numérique Le Mystique du Sommet, présenté à l'intérieur même de l'oratoire, retrace l'histoire religieuse et culturelle de ce site exceptionnel.;AUBERGE OCÉANE (0.7 km) | AUBERGE OCÉANE (0.7 km) | BLEU MER (0.9 km);GÎTE LA MER LA MONTAGNE (0.6 km) | RIÔTEL CARLETON-SUR-MER (1.0 km) | LE MANOIR BELLE PLAGE (1.1 km);;Pub Saint-Joseph (Carleton-sur-Mer) (1.0 km) | Auberge du Marchand (12.8 km);Le Naufrageur (0.6 km) | Écovoile Baie-des-Chaleurs (0.8 km) | Golf Carleton-sur-Mer (2.2 km) | Parc régional du Mont-Saint-Joseph (3.3 km) | Parc national de Miguasha (17.0 km);Parc régional du Mont-Saint-Joseph (3.3 km) | Kiyak Aventures (10.0 km) | Parc de la Pointe Taylor (20.8 km) | Station touristique Pin Rouge / Glissade sur neige (33.0 km) | Station touristique Pin Rouge / Ski alpin et planche à neige (36.9 km)
51;bioparc-de-la-gaspesie;Bioparc de la Gaspésie;Bioparc de la Gaspésie;Gaspésie;4;Bonaventure;123, rue des Vieux-Ponts, Bonaventure (QC) G0C 1E0;;bioparc.ca;;48.03213216666667;-65.47399291666666;Faune et zoo;Wildlife & Zoos;Hébergement + Billetterie/Excursion;Accommodation + Tickets/Tours;Ouvert depuis 1998, ce parc animalier éducatif présente une quarantaine d'espèces indigènes du Québec réparties à travers cinq écosystèmes reconstitués de la Gaspésie, complétés par un insectarium et la possibilité unique de passer la nuit aux côtés des loups.;Open since 1998, this educational wildlife park showcases about forty species native to Québec across five recreated Gaspésie ecosystems, complemented by an insectarium and the unique opportunity to spend the night alongside wolves.;Le Bioparc de la Gaspésie s'est donné, dès son ouverture en 1998, une mission résolument éducative et écologique, présentant à travers un sentier d'environ un kilomètre les cinq écosystèmes caractéristiques de la péninsule gaspésienne — la baie, le barachois, la rivière, la forêt et la toundra — où évoluent une quarantaine d'espèces animales indigènes telles que loups, ours noirs, lynx, loutres et phoques, dans des installations fidèles à leur habitat naturel respectif. Des investissements successifs totalisant plusieurs millions de dollars, notamment des subventions gouvernementales obtenues en 2007 et 2009, ont permis de moderniser considérablement les infrastructures d'exposition du parc, qui a notamment vu sa fréquentation bondir de plus de 20 % en 2010 pour atteindre un sommet de 28 000 visiteurs annuels. Le pavillon des amphibiens et reptiles du Québec ainsi que l'insectarium, doté d'une impressionnante collection de spécimens vivants et naturalisés, complètent l'offre éducative du site, tandis que l'expérience nocturne immersive Dormir avec les loups, combinant nuitée en cabane de trappeur, souper aux saveurs gaspésiennes et safari matinal, constitue l'une des activités les plus distinctives et mémorables proposées par l'établissement, qui loue également des chalets en bord de mer pour prolonger le séjour.;CAMPING PLAGE BEAUBASSIN (1.2 km) | CAMPING DE LA 1RE EST (2.4 km) | CAMPING GREEN (5.4 km);L'AUBERGE DU CAFÉ ACADIEN (0.9 km) | MOTEL GRAND-PRÉ (1.9 km) | CAMP BONAVENTURE (1.9 km);;Pub Saint-Joseph (Bonaventure) (2.0 km) | Kano (4.0 km);Bioparc de la Gaspésie (1.2 km) | Club de golf Fauvel (4.5 km) | Cime Aventures (7.5 km) | La Belle Vie Sailing (11.6 km) | La Grotte de Saint-Elzéar (15.1 km);Domaine des Chutes du Ruisseau Creux (19.0 km) | Station touristique Pin Rouge / Glissade sur neige (29.5 km) | Parc de la Pointe Taylor (31.0 km) | Station touristique Pin Rouge / Ski alpin et planche à neige (36.6 km)
